<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPD.US,5,20221207,153000,27.79,27.79,27.6383,27.6383,4726,0
AAPD.US,5,20221207,153500,27.6283,27.7099,27.6161,27.7099,17009,0
AAPD.US,5,20221207,154000,27.7354,27.93,27.7354,27.93,3750,0
AAPD.US,5,20221207,154500,28,28.0799,27.99,28.0799,19255,0
AAPD.US,5,20221207,155000,28.089,28.099,28.0735,28.0735,601,0
AAPD.US,5,20221207,155500,28.05,28.08,28.0101,28.08,6584,0
AAPD.US,5,20221207,160000,28.055,28.055,28.055,28.055,100,0
AAPD.US,5,20221207,160500,27.92,27.93,27.911,27.93,2600,0
AAPD.US,5,20221207,161000,27.97,28.04,27.96,28.0399,5100,0
AAPD.US,5,20221207,161500,27.92,27.94,27.8707,27.94,5680,0
AAPD.US,5,20221207,162000,27.92,27.9532,27.92,27.9532,300,0
AAPD.US,5,20221207,162500,27.965,27.985,27.965,27.985,750,0
AAPD.US,5,20221207,163000,27.89,27.95,27.89,27.95,3650,0
AAPD.US,5,20221207,163500,28.01,28.01,28.01,28.01,200,0
AAPD.US,5,20221207,164000,28.0243,28.0301,28.0243,28.025,400,0
AAPD.US,5,20221207,164500,28.0212,28.0212,27.967,27.9699,960,0
AAPD.US,5,20221207,165000,27.8797,27.8797,27.8797,27.8797,100,0
AAPD.US,5,20221207,165500,27.87,27.87,27.87,27.87,600,0
AAPD.US,5,20221207,170500,27.876,27.9499,27.876,27.9499,1600,0
AAPD.US,5,20221207,171000,28.0003,28.0003,28.0003,28.0003,101,0
AAPD.US,5,20221207,172000,28.02,28.0998,28.0157,28.0998,3200,0
AAPD.US,5,20221207,172500,28.0999,28.1299,28.0899,28.1299,2300,0
AAPD.US,5,20221207,173000,28.1299,28.1299,28.1299,28.1299,1000,0
AAPD.US,5,20221207,173500,28.0927,28.0927,28.07,28.07,450,0
AAPD.US,5,20221207,174000,28.05,28.1,28.05,28.0999,1400,0
AAPD.US,5,20221207,174500,28.1,28.12,28.0957,28.11,717,0
AAPD.US,5,20221207,180000,28.035,28.035,28.02,28.02,400,0
AAPD.US,5,20221207,181000,28.11,28.11,28.1,28.1,900,0
AAPD.US,5,20221207,182000,28.045,28.0747,28.045,28.0747,1000,0
AAPD.US,5,20221207,182500,28.07,28.07,28.07,28.07,1000,0
AAPD.US,5,20221207,183500,28.0951,28.0951,28.0951,28.0951,200,0
AAPD.US,5,20221207,184000,28.04,28.04,28.04,28.04,1100,0
AAPD.US,5,20221207,184500,28.005,28.005,28.005,28.005,800,0
AAPD.US,5,20221207,185000,28.05,28.05,28.05,28.05,100,0
AAPD.US,5,20221207,190000,28.0606,28.0606,28.0606,28.0606,178,0
AAPD.US,5,20221207,190500,28.1099,28.1099,28.09,28.09,3200,0
AAPD.US,5,20221207,191000,28.0601,28.0601,28.04,28.04,300,0
AAPD.US,5,20221207,192500,28.0104,28.0104,28.0104,28.0104,1000,0
AAPD.US,5,20221207,193000,27.9801,28.005,27.9801,28.005,3500,0
AAPD.US,5,20221207,193500,28.02,28.02,28.015,28.015,700,0
AAPD.US,5,20221207,194500,28.04,28.04,28.04,28.04,100,0
AAPD.US,5,20221207,195000,28.0496,28.0496,28.04,28.04,3000,0
AAPD.US,5,20221207,195500,28.09,28.09,28.0857,28.09,900,0
AAPD.US,5,20221207,200000,28.08,28.12,28.08,28.12,500,0
AAPD.US,5,20221207,200500,28.1,28.1,28.1,28.1,100,0
AAPD.US,5,20221207,201000,28.0122,28.0122,28.0122,28.0122,100,0
AAPD.US,5,20221207,202500,28.0521,28.0521,28.0457,28.0457,4100,0
AAPD.US,5,20221207,203000,28.05,28.05,28.05,28.05,930,0
AAPD.US,5,20221207,203500,27.99,27.9942,27.98,27.99,3600,0
AAPD.US,5,20221207,204000,27.98,28.01,27.9764,28.0027,6380,0
AAPD.US,5,20221207,205500,28.079,28.1099,28.079,28.1099,13600,0
AAPD.US,5,20221207,210000,28.105,28.105,28.1,28.1,2000,0
AAPD.US,5,20221207,211000,28.1895,28.1895,28.1895,28.1895,100,0
AAPD.US,5,20221207,212000,28.2395,28.2527,28.2395,28.2527,3660,0
AAPD.US,5,20221207,212500,28.2199,28.2199,28.2199,28.2199,500,0
AAPD.US,5,20221207,213000,28.18,28.18,28.18,28.18,300,0
AAPD.US,5,20221207,213500,28.18,28.18,28.1215,28.1215,546,0
AAPD.US,5,20221207,214000,28.13,28.179,28.13,28.179,2000,0
AAPD.US,5,20221207,214500,28.145,28.145,28.135,28.14,2200,0
AAPD.US,5,20221207,215000,28.1199,28.1199,28.07,28.07,2370,0
AAPD.US,5,20221207,215500,28.07,28.08,28.05,28.08,4300,0
AAPD.US,5,20221208,153000,27.78,27.89,27.74,27.8307,5842,0
AAPD.US,5,20221208,153500,27.87,27.9599,27.84,27.935,5260,0
AAPD.US,5,20221208,154000,27.909,28.01,27.909,28,24348,0
AAPD.US,5,20221208,154500,28.03,28.03,27.95,27.95,15600,0
AAPD.US,5,20221208,155000,27.8985,27.9,27.8426,27.8426,3200,0
